k5_pace_minkm,k10_pace_minkm,mh_pace_minkm,has_k5_data,has_k10_data,slowdown_10k_to_hm,slowdown_5k_to_hm,sex_M,sex_F,age_input,age_squared,bmi_input,endurancecat_input,typical_km_week,max_km_week,training_volume_ratio,has_sprint,has_tempo,injury_history,footwear_type,k5_pace_squared,k10_pace_squared,mh_pace_squared,mh_pace_cubed,sex_pace_interaction,age_pace_interaction,bmi_pace_interaction,training_pace_interaction,endurance_pace_interaction,age_bmi_interaction
,,5.642058695738042,0,0,,,0,1,33.0,1089.0,24.301830291748047,2,30.0,40.0,1.3333333333333333,0,0,0,2,,,31.832826326153253,179.60267458339183,0.0,186.18793695935537,137.1123529199072,169.26176087214125,11.284117391476084,801.9603996276855
,5.4,5.545680767863491,0,1,1.0269779199747204,,1,0,45.0,2025.0,26.655445098876953,2,22.0,29.0,1.3181818181818181,0,0,1,2,,29.160000000000004,30.754575179051,170.555056094275,5.545680767863491,249.5556345538571,147.82258924368307,122.00497689299681,11.091361535726982,1199.495029449463
,,5.207568037287198,0,0,,,0,1,32.0,1024.0,23.829980850219727,2,23.0,28.0,1.2173913043478262,1,1,1,2,,,27.118764862975244,141.22281311113704,0.0,166.64217719319035,124.09624660477027,119.77406485760557,10.415136074574397,762.5593872070312
,,3.934115416518545,0,0,,,1,0,45.0,2025.0,23.592323303222656,2,40.0,55.0,1.375,0,1,0,2,,,15.477264110488884,60.889343342603496,3.934115416518545,177.0351937433345,92.81492281869797,157.3646166607418,7.86823083303709,1061.6545486450195
,3.8,4.123711340206185,0,1,1.0851871947911014,,1,0,38.0,1444.0,22.263450622558594,2,65.0,70.0,1.0769230769230769,1,1,1,1,,14.44,17.00499521734509,70.1236916179179,4.123711340206185,156.70103092783503,91.80804380436533,268.041237113402,8.24742268041237,846.0111236572266
,4.316666666666666,4.724098431883714,0,1,1.0943857371159185,,1,0,38.0,1444.0,19.043840408325195,1,65.0,75.0,1.1538461538461537,1,1,0,2,,18.633611111111108,22.31710599412617,105.42820543103407,4.724098431883714,179.51574041158113,89.96497661001277,307.0663980724414,4.724098431883714,723.6659355163574
4.533333333333333,,4.9239641347711025,1,0,,1.0861685591406844,0,1,34.0,1156.0,20.73756217956543,3,38.0,50.0,1.3157894736842106,0,1,0,2,20.55111111111111,,24.24542280051213,119.38359230208329,0.0,167.41478058221747,102.11101241476582,187.1106371213019,14.771892404313308,705.0771141052246
3.7666666666666666,,4.1308211873444725,1,0,,1.096678191330391,0,1,25.0,625.0,23.082386016845703,2,50.0,60.0,1.2,0,1,0,2,14.187777777777777,,17.063683681814,70.4870260869814,0.0,103.27052968361181,95.34920921285001,206.54105936722362,8.261642374688945,577.0596504211426
6.026666666666666,,7.603586522889757,1,0,,1.2616570557892297,0,1,30.0,900.0,21.52133560180664,2,25.0,30.0,1.2,1,1,0,2,36.32071111111111,,57.81452801107075,439.5977660122099,0.0,228.10759568669272,163.6393373364845,190.08966307224392,15.207173045779514,645.6400680541992
,,5.450882806019671,0,0,,,1,0,38.0,1444.0,22.913442611694336,2,25.0,37.0,1.48,1,0,0,2,,,29.712123364960878,161.95730238040056,5.450882806019671,207.13354662874747,124.89849035880312,136.27207015049177,10.901765612039341,870.7108192443848
,,4.4468143934905395,0,0,,,1,0,47.0,2209.0,25.921951293945312,2,35.0,50.0,1.4285714285714286,1,1,1,1,,,19.774158250154635,87.93201152594733,4.4468143934905395,209.00027649405536,115.27010612127673,155.6385037721689,8.893628786981079,1218.3317108154297
,4.4,4.5289726270885176,0,1,1.0293119607019356,,0,1,34.0,1156.0,21.871646881103516,1,35.0,46.0,1.3142857142857143,0,1,1,1,,19.360000000000003,20.511593056917068,92.89644349275629,0.0,153.9850693210096,99.05609003386377,158.5140419480981,4.5289726270885176,743.6359939575195
,,3.8077181340601176,0,0,,,1,0,46.0,2116.0,22.86756706237793,2,70.0,90.0,1.2857142857142858,0,0,1,2,,,14.498717388450263,55.20702912061482,3.8077181340601176,175.1550341667654,87.0732497852523,266.5402693842082,7.615436268120235,1051.9080848693848
,,5.972271596160683,0,0,,,0,1,30.0,900.0,24.93506622314453,1,30.0,42.0,1.4,1,0,0,2,,,35.668028018307666,213.01915062480228,0.0,179.16814788482048,148.91898775287171,179.16814788482048,5.972271596160683,748.0519866943359
,,4.47130386696686,0,0,,,0,1,33.0,1089.0,18.32382583618164,2,40.0,50.0,1.25,0,0,0,2,,,19.992558270752795,89.39280310657725,0.0,147.55302760990637,81.93139331894622,178.8521546786744,8.94260773393372,604.6862525939941
